BillNo,Month,Year,Customer,Discount 5%,Discount 12%,Discount 18%,Discount 28%
ZA8277,4,2017,"S.N.MEDICALS, KADAPRA",0,0,0,1
ZA8278,4,2017,"MEPRASSARIL MEDICALS, VALANJAVATTAM",0,0,0,1
ZA8273,4,2017,"DEEPTHI MEDICALS, MANNAR",0,0,0,1
ZA8269,4,2017,"MEDICAL TRUST HOSPITAL, KULANADA",0,0,0,1
ZA8279,4,2017,"ST.GREGORIOUS HOSPITAL, PARUMALA",0,0,0,1
ZA8276,4,2017,"NEETHI MEDICAL STORES, MANNAR",0,0,0,1
ZA8271,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8280,4,2017,"UDAYAGIRI HOSPITAL, CHANGANACHERRY",0,0,0,1
ZA8267,4,2017,"ZZZNEETHI MEDICAL STORE, ",0,0,0,1
ZA8275,4,2017,"MARANGAT MEDICALS, KAVUMBHAGOM",0,0,0,1
ZA8274,4,2017,"MANNAR MEDICALS, MANNAR",0,0,0,1
ZA8281,4,2017,"C.M HOSPITAL, PANDALAM",0,0,0,1
ZA8292,4,2017,"MARIA HOSPITAL, ADOOR",0,0,1,0
ZA8283,4,2017,"THE UNIVERSAL MEDICAL STORES, CHENGANOOR",0,0,1,0
ZA8294,4,2017,"VAZHAPLAVIL MEDICALS, PANDALAM",0,0,1,0
ZA8315,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,1,0
ZA8287,4,2017,"ORMA MEDICALS, ADOOR",0,0,0,1
ZA8305,4,2017,"KARUNYA MEDICALS, CHENGANOOR",0,0,0,1
ZA8286,4,2017,"ATHIRA MEDICALS, PALLIPADI, KARAKKAD",0,0,0,1
ZA8295,4,2017,"ANJALI MEDICALS, THIRUVALLA",0,0,0,1
ZA8296,4,2017,"AISWARYA MEDICALS, KUTOOR",0,0,0,1
ZA8289,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,1,0
ZA8297,4,2017,"UDAYA MEDICALS, PANDALAM",0,0,0,1
ZA8312,4,2017,"ASWAS COMMUNITY PHARMACY, ADOOR",0,0,0,1
ZA8303,4,2017,"NEETHI MEDICALS, NEAR COLLEGE JN ",0,0,0,1
ZA8288,4,2017,"THUSHARA MEDICALS, PANDALAM",0,0,0,1
ZA8300,4,2017,"K.K DRUG HOUSE, ADOOR",0,0,0,1
ZA8311,4,2017,"APPOLO MEDICALS, ADOOR",0,0,0,1
ZA8282,4,2017,"THE UNIVERSAL MEDICAL STORES, CHENGANOOR",0,0,0,1
ZA8290,4,2017,"ZZZNEETHI MEDICAL STORE, ",0,0,0,1
ZA8314,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,0,1
ZA8285,4,2017,"ATTILETHU  MEDICALS, KULANADA",0,0,0,1
ZA8302,4,2017,"PUTHENVILAYIL MEDICALS, PANDALAM",0,0,0,1
ZA8313,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,0,1
ZA8307,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8310,4,2017,"KIZHAKINATH MEDICALS, PAIPPAD",0,0,0,1
ZA8309,4,2017,"AMBALATHINKAL MEDICALS, THIRUVALLA",0,0,0,1
ZA8291,4,2017,"MARIA HOSPITAL, ADOOR",0,0,0,1
ZA8299,4,2017,"SOUTHERN MEDICALS, KOZHENCHERY",0,0,0,1
ZA8304,4,2017,"RELIEF MEDICALS & SURGICALS, CHENGANOOR",0,0,0,1
ZA8301,4,2017,"LEKSHMI MEDICALS, KUTOOR",0,0,0,1
ZA8306,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8298,4,2017,"JOSE & SONS MEDICALS, THIRUVALLA",0,0,0,1
ZA8293,4,2017,"K.R.MEDICALS, KALLISSERY",0,0,0,1
ZA8308,4,2017,"AMIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8284,4,2017,"KULATHINKAROTTU MEDICALS, ADOOR",0,0,0,0
ZA8336,4,2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",0,0,0,1
ZA8330,4,2017,"HOLY CROSS HOSPITAL, ADOOR",0,0,0,1
ZA8332,4,2017,"AMIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8321,4,2017,"BHAGAVATH MEDICALS, THIRUVALLA",0,0,1,0
ZA8325,4,2017,"MATTAPARAMPIL MEDICALS, CHANGANASSERY",0,0,0,1
ZA8327,4,2017,"THOMSON MEDICALS, THENGANA",0,0,0,1
ZA8333,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8335,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8329,4,2017,"NEETHI MEDICALS, NEAR MUNICIPAL JN",0,0,0,1
ZA8334,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8319,4,2017,"THE UNIVERSAL MEDICAL STORES, CHENGANOOR",0,0,0,1
ZA8323,4,2017,"KANNAMPALLIL MEDICALS, THENGANA",0,0,0,1
ZA8317,4,2017,"DR.CHACKO (BETSETHA(H), VALLAMKULAM",0,0,0,1
ZA8328,4,2017,"NEETHI MEDICALS, NEAR MUNICIPAL JN",0,0,0,1
ZA8322,4,2017,"LOURDU MATHA HOSPITAL, PACHA",0,0,0,1
ZA8318,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,0,1
ZA8326,4,2017,"ASWAS MEDICALS, KURISHUMMOODU",0,0,0,1
ZA8337,4,2017,"THOMSON MEDICALS, TIRUVALLA",0,0,0,1
ZA8320,4,2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",0,0,0,1
ZA8324,4,2017,"JESWIN MEDICALS, THENGANA",0,0,0,1
ZA8331,4,2017,"ORANGE MEDICALS, KADAPRA",0,0,0,1
ZA8316,4,2017,"T & T MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8373,4,2017,"MODERN DRUG HOUSE, PATHANAMTHITTA",0,0,0,1
ZA8387,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,1,0
ZA8389,4,2017,"NEETHI MEDICALS, THENGANA",0,0,1,0
ZA8383,4,2017,"PENCOS MEDICALS, CHENGANOOR",0,0,0,1
ZA8386,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,1,0
ZA8384,4,2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8341,4,2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",0,0,0,1
ZA8348,4,2017,"NEETHI MEDICALS, ERAVIPEROOR  SCB",0,0,0,1
ZA8375,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8360,4,2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",0,0,0,1
ZA8393,4,2017,"NITHIN MEDICALS, THIRUVALLA",0,0,0,1
ZA8391,4,2017,"MODERN PHARMACY, THIRUVALLA",0,0,0,1
ZA8381,4,2017,"ST.THOMAS MEDICALS, VENMONY",0,0,0,1
ZA8363,4,2017,"PRATHIBHA MEDICALS, VECHOOCHIRA",0,0,0,1
ZA8377,4,2017,"PULIMOOTTIL MEDICALS, KUTTOOR",0,0,1,0
ZA8394,4,2017,"MED CARE PHARMACY, KAVUMBHAGUM",0,0,0,1
ZA8361,4,2017,"PREETHI MEDICALS, ELENTHOOR",0,0,0,1
ZA8356,4,2017,"MANNAR MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8340,4,2017,"NEETHY MEDICAL STORE, PULLAD",0,0,0,1
ZA8369,4,2017,"M.G.M. MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8392,4,2017,"CHERUPUSHPAM J.J. MEDICALS, THIRUVALLA",0,0,0,1
ZA8347,4,2017,"T & T MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8358,4,2017,"MUTTUMON MEDICALS, KUMBANAD",0,0,0,1
ZA8385,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,0,1
ZA8388,4,2017,"NEETHI MEDICALS, THENGANA",0,0,0,1
ZA8367,4,2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",0,0,0,1
ZA8378,4,2017,"NEETHI MEDICAL STORE, KUMBANADU",0,0,0,1
ZA8379,4,2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",0,0,0,1
ZA8344,4,2017,"VETTATHARA MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8396,4,2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",0,0,0,1
ZA8343,4,2017,"POYANIL HOSPITAL, KOZHENCHERRY",0,0,0,1
ZA8390,4,2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",0,0,0,1
ZA8364,4,2017,"FRIENDS MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8357,4,2017,"TRAVANCORE MEDICALS, PULLAD",0,0,0,1
ZA8376,4,2017,"ST.LUKE HOSPITAL, PATHANAMTHITTA",0,0,0,1
ZA8345,4,2017,"JAYA MEDICALS, POOVATHOOR",0,0,0,1
ZA8355,4,2017,"SAM MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8365,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,0,1
ZA8339,4,2017,"SONIA MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8382,4,2017,"PAZHANJIYIL MEDICALS, KOZHENCHERY",0,0,0,1
ZA8354,4,2017,"TRAVANCORE MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8352,4,2017,"JACOBS MEDICALS, KUMBANAD",0,0,0,1
ZA8359,4,2017,"DEEPTHI MEDICALS, KAYAMKULAM",0,0,0,1
ZA8351,4,2017,"ATHIRA MEDICALS, PALLIPADI, KARAKKAD",0,0,0,1
ZA8370,4,2017,"MOOTHEDATHU MEDICALS, ERAVIPEROOR",0,0,0,1
ZA8368,4,2017,"JINI MEDICALS, MARAMON",0,0,0,1
ZA8353,4,2017,"MAMMARAPALLIL MEDICALS, PULLAD ",0,0,0,1
ZA8395,4,2017,"DR.P T SHAJI, PAIPPAD",0,0,0,1
ZA8404,4,2017,"KANNAMPALLIL MEDICALS, THENGANA",0,0,1,0
ZA8411,4,2017,"KOTTARATHIL MEDICALS, RANNY",0,0,0,1
ZA8403,4,2017,"ST.GREGORIOUS HOSPITAL, PARUMALA",0,0,0,1
ZA8398,4,2017,"NEETHI MEDICALS, ERAVIPEROOR  SCB",0,0,0,1
ZA8401,4,2017,"AISWARYA MEDICALS, KUTOOR",0,0,0,1
ZA8405,4,2017,"JAI MEDICALS, THIRUVALLA",0,0,0,1
ZA8400,4,2017,"UDAYAGIRI HOSPITAL, CHANGANACHERRY",0,0,0,1
ZA8397,4,2017,"MENAMTHOTTAM HOSPITAL, RANNY",0,0,0,1
ZA8402,4,2017,"AMIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8399,4,2017,"BHADRA MEDICALS, NEERATTUPURAM",0,0,0,1
ZA8452,4,2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",0,0,1,0
ZA8429,4,2017,"PUNNON LIFECARE MEDICALS, COURT ROAD,CHENGANOOR",0,0,1,0
ZA8438,4,2017,"DEEPTHI MEDICALS, MANNAR",0,0,0,1
ZA8420,4,2017,"ZZZNEETHI MEDICAL STORE, ",0,0,0,1
ZA8440,4,2017,"KARUNYA MEDICALS, CHENGANOOR",0,0,0,1
ZA8435,4,2017,"LEKSHMI MEDICALS, KUTOOR",0,0,0,1
ZA8421,4,2017,"KARUNYA MEDICALS, ADOOR",0,0,0,1
ZA8451,4,2017,"ANJALI MEDICALS, THIRUVALLA",0,0,0,1
ZA8419,4,2017,"NEETHI MEDICAL STORE, CENTRAL ADOOR",0,0,0,1
ZA8448,4,2017,"DELIGHT'S MEDICALS, CHENGANNUR",0,0,0,1
ZA8415,4,2017,"S.N.MEDICALS, KADAPRA",0,0,0,1
ZA8423,4,2017,"UDAYA MEDICALS, PANDALAM",0,0,0,1
ZA8410,4,2017,"ST.THOMAS MEDICALS, RANNY",0,0,0,1
ZA8408,4,2017,"BETHEL MEDICALS, THADIYOOR",0,0,0,1
ZA8409,4,2017,"SOORAJ MEDICALS, PLANKAMON",0,0,0,1
ZA8441,4,2017,"ATTILETHU  MEDICALS, KULANADA",0,0,0,1
ZA8417,4,2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",0,0,0,1
ZA8426,4,2017,"USHA HOSPITAL, CHENGANNOOR",0,0,0,1
ZA8436,4,2017,"VAZHAPLAVIL MEDICALS, PANDALAM",0,0,0,1
ZA8444,4,2017,"PUTHENVILAYIL MEDICALS, PANDALAM",0,0,0,1
ZA8446,4,2017,"MARANGAT MEDICALS, KAVUMBHAGOM",0,0,0,1
ZA8406,4,2017,"PUTHANPARAMBIL MEDICALS, PURAMATTOM",0,0,0,1
ZA8450,4,2017,"DR.PHILIP MATHEW, ST.THOMAS M S DENTAL CLINIC",0,0,0,1
ZA8443,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,0,1
ZA8442,4,2017,"K.R.MEDICALS, KALLISSERY",0,0,0,1
ZA8437,4,2017,"AISWARYA MEDICALS, KUTOOR",0,0,0,1
ZA8430,4,2017,"PADAPARAMBIL MEDICALS, PURAMATTOM",0,0,0,1
ZA8425,4,2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",0,0,0,1
ZA8431,4,2017,"THUSHARA MEDICALS, PANDALAM",0,0,0,1
ZA8453,4,2017,"AMBALATHINKAL MEDICALS, THIRUVALLA",0,0,0,1
ZA8454,4,2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",0,0,1,0
ZA8458,4,2017,"HOLY CROSS HOSPITAL, ADOOR",0,0,0,1
ZA8470,4,2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8460,4,2017,"BELIEVERS CHURCH CITY CLINIC, THIRUVALLA",0,0,0,1
ZA8464,4,2017,"MATTAPARAMPIL MEDICALS, CHANGANASSERY",0,0,0,1
ZA8468,4,2017,"DR.V.K.SANJEEV.MD.DM, NEURO CLINIC ,CHRY",0,0,0,1
ZA8459,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,0,1
ZA8457,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8462,4,2017,"REMEDY MEDICALS, CHANGANACHERRY",0,0,0,1
ZA8455,4,2017,"MAHAJUBILE MEMORIAL HOSPITAL, EDATHUA",0,0,0,1
ZA8461,4,2017,"JANAMITHRA MEDICALS, PAIPAD",0,0,0,1
ZA8463,4,2017,"J M J MEDICALS, LAIKADU",0,0,0,1
ZA8467,4,2017,"ASWAS MEDICALS, KURISHUMMOODU",0,0,0,1
ZA8456,4,2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",0,0,0,1
ZA8469,4,2017,"CHERUPUSHPAM J.J. MEDICALS, THIRUVALLA",0,0,0,1
ZA8465,4,2017,"KANNAMPALLIL MEDICALS, THENGANA",0,0,0,1
ZA8466,4,2017,"JESWIN MEDICALS, THENGANA",0,0,0,1
ZA8473,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8495,4,2017,"MODERN DRUG HOUSE, PATHANAMTHITTA",0,0,0,1
ZA8496,4,2017,"JOSE & SONS MEDICALS, THIRUVALLA",0,0,0,1
ZA8483,4,2017,"NEETHI MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8511,4,2017,"NEETHI MEDICALS, NEDUMKUNNAM",0,0,0,1
ZA8502,4,2017,"KUMBANAD MEDICALS, KUMBANAD",0,0,0,1
ZA8508,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,0,1
ZA8503,4,2017,"PHILIPS MEDICALS, NELLAD",0,0,0,1
ZA8485,4,2017,"MANNAR MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8507,4,2017,"NEETHI MEDICAL STORE, KUMBANADU",0,0,0,1
ZA8486,4,2017,"JINI MEDICALS, MARAMON",0,0,0,1
ZA8471,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8474,4,2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",0,0,0,1
ZA8472,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8506,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8475,4,2017,"PEOPLES HOSPITAL, PATHANAMTHITTA",0,0,0,1
ZA8504,4,2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",0,0,0,1
ZA8477,4,2017,"POYANIL HOSPITAL, KOZHENCHERRY",0,0,0,1
ZA8488,4,2017,"SOUTHERN MEDICALS, KOZHENCHERY",0,0,0,1
ZA8499,4,2017,"AISWARYA MEDICALS, KUTOOR",0,0,0,1
ZA8487,4,2017,"NEETHY MEDICAL STORE, PULLAD",0,0,0,1
ZA8484,4,2017,"ST.GEORGE MEDICALS, KOZHENCHERY",0,0,0,1
ZA8478,4,2017,"HAFZA MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8512,4,2017,"AMIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8509,4,2017,"JAI MEDICALS, THIRUVALLA",0,0,0,1
ZA8497,4,2017,"SURESH NURSING HOME, CHANGANASSERY",0,0,0,1
ZA8491,4,2017,"PREETHI MEDICALS, ELENTHOOR",0,0,0,1
ZA8510,4,2017,"NEETHI MEDICALS, MALLAPPALLY",0,0,0,1
ZA8479,4,2017,"ST.MARY'S HOSPITAL, ERAVIPEROOR",0,0,0,1
ZA8489,4,2017,"KOODATHUMANNIL MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8498,4,2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",0,0,0,1
ZA8490,4,2017,"TRAVANCORE MEDICALS, PULLAD",0,0,0,1
ZA8492,4,2017,"MUTTUMON MEDICALS, KUMBANAD",0,0,0,1
ZA8500,4,2017,"SIMON GEORGE & SONS, PATHANAMTHITTA",0,0,0,1
ZA8482,4,2017,"T & T MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8494,4,2017,"SAM MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8501,4,2017,"SHEEBA MEDICALS, THEADICAL",0,0,0,1
ZA8513,4,2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",0,0,0,1
ZA8481,4,2017,"KANJIRAMON MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8476,4,2017,"FRIENDS MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8480,4,2017,"MAMMARAPALLIL MEDICALS, PULLAD ",0,0,0,1
ZA8493,4,2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",0,0,0,1
ZA8505,4,2017,"BHADRA MEDICALS, NEERATTUPURAM",0,0,0,1
ZA8517,4,2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",0,0,0,1
ZA8515,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,0,1
